file_id,8_Wan_Edit|structure_distance,8_Wan_Edit|psnr_unedit_part,8_Wan_Edit|lpips_unedit_part,8_Wan_Edit|mse_unedit_part,8_Wan_Edit|ssim_unedit_part,8_Wan_Edit|clip_similarity_source_image,8_Wan_Edit|clip_similarity_target_image,8_Wan_Edit|clip_similarity_target_image_edit_part,8_Wan_Edit|niqe_target_image,8_Wan_Edit|motion_fidelity_score,8_Wan_Edit|motion_fidelity_score_edit_part,8_Wan_Edit|five_acc_yes_no,8_Wan_Edit|five_acc_multi_choice,8_Wan_Edit|five_acc_union,8_Wan_Edit|five_acc_inter,8_Wan_Edit|five_acc
0,0.00418276822892949,29.81367842356364,0.07958397269248962,0.0010751441877800971,0.8297213315963745,30.66161600748698,30.01973533630371,24.841994921366375,4.756757213155461,0.9903452396392822,0.9844503402709961,0,0,0,0,0.0
1,0.0019254906898519646,34.88595008850098,0.04636978295942148,0.0003420070934225805,0.9634365836779276,27.39897632598877,27.464684168497723,24.50825023651123,5.443351397493701,0.8654411435127258,0.8851667046546936,0,0,0,0,0.0
2,0.0008984126810294887,31.172149022420246,0.06385695872207482,0.0007923756202217191,0.9142926335334778,7.518662532170613,6.8546507358551025,7.630458037058513,5.476224041863287,0.9323528409004211,0.9226940870285034,0,0,0,0,0.0
3,0.003676262121492376,29.334948857625324,0.082675917694966,0.001252934045623988,0.83408189813296,30.14535903930664,29.439313252766926,25.106491724650066,5.518251177010453,0.9760950207710266,0.9615105390548706,0,0,0,0,0.0
4,0.0023791458030852177,31.252258618672688,0.042686463644107185,0.0007633661637858798,0.9262453317642212,22.84447447458903,22.212827682495117,17.84633461634318,5.652071180241099,0.5319910645484924,0.6071568727493286,0,0,0,0,0.0
5,0.00295292337735494,26.7450377146403,0.10638122757275899,0.0021314721864958606,0.7743127644062042,26.40644709269206,26.526074409484863,21.647146860758465,4.407333864645003,0.9939640164375305,0.9670056700706482,0,0,0,0,0.0
6,0.0014544463144072022,35.04924774169922,0.06943708347777526,0.00031339487759396434,0.9173972606658936,29.103871663411457,28.927610397338867,14.664368311564127,6.502568645379519,0.9462375640869141,0.9095913171768188,0,0,0,0,0.0
7,0.0020515997894108295,32.84889157613119,0.0664970555032293,0.0005299387266859412,0.8893862962722778,27.7214994430542,25.105921427408855,25.252729415893555,5.53052283327257,0.9664486646652222,0.9579300880432129,0,0,0,0,0.0
8,0.0007617347776734581,40.053993225097656,0.010720648181935152,9.923924153554253e-05,0.989260176817576,29.053016026814777,27.888821283976238,25.273146629333496,7.829637339140123,0.4845246374607086,0.6589348316192627,0,0,0,0,0.0
9,0.00208839993380631,31.339603106180828,0.02755398799975713,0.0007680245568432534,0.9290801088015238,24.136377970377605,24.66152572631836,21.481863339742024,5.382945180287419,0.9019994139671326,0.9210590124130249,0,0,0,0,0.0
